id,climate,moisture,continent,land_use_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 5.2, 5.3, 5.9."
46735,Tropical,Moist,Oceania,Flooded Rice,4.7,1.175,8.225,
46736,Tropical,Moist,Oceania,Grassland,7.567,1.89175,13.24225,
46737,Tropical,Moist,Oceania,Other Land (Non-Vegetated),0,#N/A,#N/A,
46738,Tropical,Moist,Oceania,Settlement,0,#N/A,#N/A,
46739,Tropical,Moist,Oceania,Agroforestry - Default,20.8875,5.221875,36.553125,
46740,Tropical,Moist,Oceania,Alley Cropping,23.7,5.925,41.475,
46741,Tropical,Moist,Oceania,Perennial Fallow,11.1,2.775,19.425,
46742,Tropical,Moist,Oceania,Hedgerow,4.7,3.337,6.063,
46743,Tropical,Moist,Oceania,Multistrata,32.5,8.125,56.875,
46744,Tropical,Moist,Oceania,Parkland,5.9,1.475,10.325,
46745,Tropical,Moist,Oceania,Shaded Perennial,24,6,42,
46746,Tropical,Moist,Oceania,Silvoarable,36.1,9.025,63.175,
46747,Tropical,Moist,Oceania,Silvopasture,29.1,7.275,50.925,
46748,Tropical,Moist,Oceania,Other Land,1,#N/A,#N/A,
46749,Tropical,Moist,Oceania,Tea,18.3,4.575,32.025,
46750,Tropical,Moist,Oceania,Oil Palm,30,7.5,52.5,
46751,Tropical,Moist,Oceania,Rubber,40.1,10.025,70.175,
46752,Tropical,Moist,North America,Grains,4.7,1.175,8.225,
46753,Tropical,Moist,North America,Maize,4.7,1.175,8.225,
46754,Tropical,Moist,North America,Sugarcane,4.7,1.175,8.225,
46755,Tropical,Moist,North America,Wheat,4.7,1.175,8.225,
46756,Tropical,Moist,North America,Beans & Pulses,4.7,1.175,8.225,
46757,Tropical,Moist,North America,Tubers,4.7,1.175,8.225,
46758,Tropical,Moist,North America,Root Crops,4.7,1.175,8.225,
46759,Tropical,Moist,North America,Barley,4.7,1.175,8.225,
46760,Tropical,Moist,North America,Oats,4.7,1.175,8.225,
46761,Tropical,Moist,North America,Millet,4.7,1.175,8.225,
46762,Tropical,Moist,North America,Sorghum,4.7,1.175,8.225,
46763,Tropical,Moist,North America,Rye,4.7,1.175,8.225,
46764,Tropical,Moist,North America,Soybeans,4.7,1.175,8.225,
46765,Tropical,Moist,North America,Dry Bean,4.7,1.175,8.225,
46766,Tropical,Moist,North America,Potatoes,4.7,1.175,8.225,
46767,Tropical,Moist,North America,Peanuts,4.7,1.175,8.225,
46768,Tropical,Moist,North America,Vegetables,4.7,1.175,8.225,
46769,Tropical,Moist,North America,Oilseeds,4.7,1.175,8.225,
46770,Tropical,Moist,North America,Groundnuts,4.7,1.175,8.225,
46771,Tropical,Moist,North America,Annual Cropland,4.7,1.175,8.225,
46772,Tropical,Moist,North America,Set Aside,4.7,1.175,8.225,
46773,Tropical,Moist,North America,Flooded Rice,4.7,1.175,8.225,
46774,Tropical,Moist,North America,Grassland,7.567,1.89175,13.24225,
46775,Tropical,Moist,North America,Other Land (Non-Vegetated),0,#N/A,#N/A,
46776,Tropical,Moist,North America,Settlement,0,#N/A,#N/A,
46777,Tropical,Moist,North America,Agroforestry - Default,20.8875,5.221875,36.553125,
46778,Tropical,Moist,North America,Alley Cropping,23.7,5.925,41.475,
46779,Tropical,Moist,North America,Perennial Fallow,11.1,2.775,19.425,
46780,Tropical,Moist,North America,Hedgerow,4.7,3.337,6.063,
46781,Tropical,Moist,North America,Multistrata,32.5,8.125,56.875,
46782,Tropical,Moist,North America,Parkland,5.9,1.475,10.325,
46783,Tropical,Moist,North America,Shaded Perennial,24,6,42,
46784,Tropical,Moist,North America,Silvoarable,36.1,9.025,63.175,
46785,Tropical,Moist,North America,Silvopasture,29.1,7.275,50.925,
46786,Tropical,Moist,North America,Other Land,1,#N/A,#N/A,
46787,Tropical,Moist,North America,Tea,18.3,4.575,32.025,
46788,Tropical,Moist,North America,Oil Palm,30,7.5,52.5,
46789,Tropical,Moist,North America,Rubber,40.1,10.025,70.175,
46790,Tropical,Moist,South America,Grains,4.7,1.175,8.225,
46791,Tropical,Moist,South America,Maize,4.7,1.175,8.225,
46792,Tropical,Moist,South America,Sugarcane,4.7,1.175,8.225,
46793,Tropical,Moist,South America,Wheat,4.7,1.175,8.225,
46794,Tropical,Moist,South America,Beans & Pulses,4.7,1.175,8.225,
46795,Tropical,Moist,South America,Tubers,4.7,1.175,8.225,
46796,Tropical,Moist,South America,Root Crops,4.7,1.175,8.225,
46797,Tropical,Moist,South America,Barley,4.7,1.175,8.225,
46798,Tropical,Moist,South America,Oats,4.7,1.175,8.225,
46799,Tropical,Moist,South America,Millet,4.7,1.175,8.225,
46800,Tropical,Moist,South America,Sorghum,4.7,1.175,8.225,
46801,Tropical,Moist,South America,Rye,4.7,1.175,8.225,
46802,Tropical,Moist,South America,Soybeans,4.7,1.175,8.225,
46803,Tropical,Moist,South America,Dry Bean,4.7,1.175,8.225,
46804,Tropical,Moist,South America,Potatoes,4.7,1.175,8.225,
46805,Tropical,Moist,South America,Peanuts,4.7,1.175,8.225,
46806,Tropical,Moist,South America,Vegetables,4.7,1.175,8.225,
46807,Tropical,Moist,South America,Oilseeds,4.7,1.175,8.225,
46808,Tropical,Moist,South America,Groundnuts,4.7,1.175,8.225,
46809,Tropical,Moist,South America,Annual Cropland,4.7,1.175,8.225,
46810,Tropical,Moist,South America,Set Aside,4.7,1.175,8.225,
46811,Tropical,Moist,South America,Flooded Rice,4.7,1.175,8.225,
46812,Tropical,Moist,South America,Grassland,7.567,1.89175,13.24225,
46813,Tropical,Moist,South America,Other Land (Non-Vegetated),0,#N/A,#N/A,
46814,Tropical,Moist,South America,Settlement,0,#N/A,#N/A,
46815,Tropical,Moist,South America,Agroforestry - Default,20.8875,5.221875,36.553125,
46816,Tropical,Moist,South America,Alley Cropping,23.7,5.925,41.475,
46817,Tropical,Moist,South America,Perennial Fallow,11.1,2.775,19.425,
46818,Tropical,Moist,South America,Hedgerow,4.7,3.337,6.063,
46819,Tropical,Moist,South America,Multistrata,32.5,8.125,56.875,
46820,Tropical,Moist,South America,Parkland,5.9,1.475,10.325,
46821,Tropical,Moist,South America,Shaded Perennial,24,6,42,
46822,Tropical,Moist,South America,Silvoarable,36.1,9.025,63.175,
46823,Tropical,Moist,South America,Silvopasture,29.1,7.275,50.925,
46824,Tropical,Moist,South America,Other Land,1,#N/A,#N/A,
46825,Tropical,Moist,South America,Tea,18.3,4.575,32.025,
46826,Tropical,Moist,South America,Oil Palm,30,7.5,52.5,
46827,Tropical,Moist,South America,Rubber,40.1,10.025,70.175,
46828,Tropical,Moist,Central America,Grains,4.7,1.175,8.225,
46829,Tropical,Moist,Central America,Maize,4.7,1.175,8.225,
46830,Tropical,Moist,Central America,Sugarcane,4.7,1.175,8.225,
46831,Tropical,Moist,Central America,Wheat,4.7,1.175,8.225,
46832,Tropical,Moist,Central America,Beans & Pulses,4.7,1.175,8.225,
46833,Tropical,Moist,Central America,Tubers,4.7,1.175,8.225,
46834,Tropical,Moist,Central America,Root Crops,4.7,1.175,8.225,
46835,Tropical,Moist,Central America,Barley,4.7,1.175,8.225,
46836,Tropical,Moist,Central America,Oats,4.7,1.175,8.225,
46837,Tropical,Moist,Central America,Millet,4.7,1.175,8.225,
46838,Tropical,Moist,Central America,Sorghum,4.7,1.175,8.225,
46839,Tropical,Moist,Central America,Rye,4.7,1.175,8.225,
46840,Tropical,Moist,Central America,Soybeans,4.7,1.175,8.225,
46841,Tropical,Moist,Central America,Dry Bean,4.7,1.175,8.225,
46842,Tropical,Moist,Central America,Potatoes,4.7,1.175,8.225,
46843,Tropical,Moist,Central America,Peanuts,4.7,1.175,8.225,
46844,Tropical,Moist,Central America,Vegetables,4.7,1.175,8.225,
46845,Tropical,Moist,Central America,Oilseeds,4.7,1.175,8.225,
46846,Tropical,Moist,Central America,Groundnuts,4.7,1.175,8.225,
46847,Tropical,Moist,Central America,Annual Cropland,4.7,1.175,8.225,
46848,Tropical,Moist,Central America,Set Aside,4.7,1.175,8.225,
46849,Tropical,Moist,Central America,Flooded Rice,4.7,1.175,8.225,
46850,Tropical,Moist,Central America,Grassland,7.567,1.89175,13.24225,
46851,Tropical,Moist,Central America,Other Land (Non-Vegetated),0,#N/A,#N/A,
46852,Tropical,Moist,Central America,Settlement,0,#N/A,#N/A,
46853,Tropical,Moist,Central America,Agroforestry - Default,20.8875,5.221875,36.553125,
46854,Tropical,Moist,Central America,Alley Cropping,23.7,5.925,41.475,
46855,Tropical,Moist,Central America,Perennial Fallow,11.1,2.775,19.425,
46856,Tropical,Moist,Central America,Hedgerow,4.7,3.337,6.063,
46857,Tropical,Moist,Central America,Multistrata,32.5,8.125,56.875,
46858,Tropical,Moist,Central America,Parkland,5.9,1.475,10.325,
46859,Tropical,Moist,Central America,Shaded Perennial,24,6,42,
46860,Tropical,Moist,Central America,Silvoarable,36.1,9.025,63.175,
46861,Tropical,Moist,Central America,Silvopasture,29.1,7.275,50.925,
46862,Tropical,Moist,Central America,Other Land,1,#N/A,#N/A,
46863,Tropical,Moist,Central America,Tea,18.3,4.575,32.025,
46864,Tropical,Moist,Central America,Oil Palm,30,7.5,52.5,
46865,Tropical,Moist,Central America,Rubber,40.1,10.025,70.175,
46866,Tropical,Moist,Caribbean,Grains,4.7,1.175,8.225,
46867,Tropical,Moist,Caribbean,Maize,4.7,1.175,8.225,
46868,Tropical,Moist,Caribbean,Sugarcane,4.7,1.175,8.225,
46869,Tropical,Moist,Caribbean,Wheat,4.7,1.175,8.225,
46870,Tropical,Moist,Caribbean,Beans & Pulses,4.7,1.175,8.225,
46871,Tropical,Moist,Caribbean,Tubers,4.7,1.175,8.225,
46872,Tropical,Moist,Caribbean,Root Crops,4.7,1.175,8.225,
46873,Tropical,Moist,Caribbean,Barley,4.7,1.175,8.225,
46874,Tropical,Moist,Caribbean,Oats,4.7,1.175,8.225,
46875,Tropical,Moist,Caribbean,Millet,4.7,1.175,8.225,
46876,Tropical,Moist,Caribbean,Sorghum,4.7,1.175,8.225,
46877,Tropical,Moist,Caribbean,Rye,4.7,1.175,8.225,
46878,Tropical,Moist,Caribbean,Soybeans,4.7,1.175,8.225,
46879,Tropical,Moist,Caribbean,Dry Bean,4.7,1.175,8.225,
46880,Tropical,Moist,Caribbean,Potatoes,4.7,1.175,8.225,
46881,Tropical,Moist,Caribbean,Peanuts,4.7,1.175,8.225,
46882,Tropical,Moist,Caribbean,Vegetables,4.7,1.175,8.225,
46883,Tropical,Moist,Caribbean,Oilseeds,4.7,1.175,8.225,
46884,Tropical,Moist,Caribbean,Groundnuts,4.7,1.175,8.225,
46885,Tropical,Moist,Caribbean,Annual Cropland,4.7,1.175,8.225,
46886,Tropical,Moist,Caribbean,Set Aside,4.7,1.175,8.225,
46887,Tropical,Moist,Caribbean,Flooded Rice,4.7,1.175,8.225,
46888,Tropical,Moist,Caribbean,Grassland,7.567,1.89175,13.24225,
46889,Tropical,Moist,Caribbean,Other Land (Non-Vegetated),0,#N/A,#N/A,
46890,Tropical,Moist,Caribbean,Settlement,0,#N/A,#N/A,
46891,Tropical,Moist,Caribbean,Agroforestry - Default,20.8875,5.221875,36.553125,
46892,Tropical,Moist,Caribbean,Alley Cropping,23.7,5.925,41.475,
46893,Tropical,Moist,Caribbean,Perennial Fallow,11.1,2.775,19.425,
46894,Tropical,Moist,Caribbean,Hedgerow,4.7,3.337,6.063,
46895,Tropical,Moist,Caribbean,Multistrata,32.5,8.125,56.875,
46896,Tropical,Moist,Caribbean,Parkland,5.9,1.475,10.325,
46897,Tropical,Moist,Caribbean,Shaded Perennial,24,6,42,
46898,Tropical,Moist,Caribbean,Silvoarable,36.1,9.025,63.175,
46899,Tropical,Moist,Caribbean,Silvopasture,29.1,7.275,50.925,
46900,Tropical,Moist,Caribbean,Other Land,1,#N/A,#N/A,
46901,Tropical,Moist,Caribbean,Tea,18.3,4.575,32.025,
46902,Tropical,Moist,Caribbean,Oil Palm,30,7.5,52.5,
46903,Tropical,Moist,Caribbean,Rubber,40.1,10.025,70.175,
46904,Tropical Montane,Dry,Eastern Africa,Grains,4.7,1.175,8.225,
46905,Tropical Montane,Dry,Eastern Africa,Maize,4.7,1.175,8.225,
46906,Tropical Montane,Dry,Eastern Africa,Sugarcane,4.7,1.175,8.225,
46907,Tropical Montane,Dry,Eastern Africa,Wheat,4.7,1.175,8.225,
46908,Tropical Montane,Dry,Eastern Africa,Beans & Pulses,4.7,1.175,8.225,
46909,Tropical Montane,Dry,Eastern Africa,Tubers,4.7,1.175,8.225,
46910,Tropical Montane,Dry,Eastern Africa,Root Crops,4.7,1.175,8.225,
46911,Tropical Montane,Dry,Eastern Africa,Barley,4.7,1.175,8.225,
46912,Tropical Montane,Dry,Eastern Africa,Oats,4.7,1.175,8.225,
46913,Tropical Montane,Dry,Eastern Africa,Millet,4.7,1.175,8.225,
46914,Tropical Montane,Dry,Eastern Africa,Sorghum,4.7,1.175,8.225,
46915,Tropical Montane,Dry,Eastern Africa,Rye,4.7,1.175,8.225,
46916,Tropical Montane,Dry,Eastern Africa,Soybeans,4.7,1.175,8.225,
46917,Tropical Montane,Dry,Eastern Africa,Dry Bean,4.7,1.175,8.225,
46918,Tropical Montane,Dry,Eastern Africa,Potatoes,4.7,1.175,8.225,
46919,Tropical Montane,Dry,Eastern Africa,Peanuts,4.7,1.175,8.225,
46920,Tropical Montane,Dry,Eastern Africa,Vegetables,4.7,1.175,8.225,
46921,Tropical Montane,Dry,Eastern Africa,Oilseeds,4.7,1.175,8.225,
46922,Tropical Montane,Dry,Eastern Africa,Groundnuts,4.7,1.175,8.225,
46923,Tropical Montane,Dry,Eastern Africa,Annual Cropland,4.7,1.175,8.225,
46924,Tropical Montane,Dry,Eastern Africa,Set Aside,4.7,1.175,8.225,
46925,Tropical Montane,Dry,Eastern Africa,Flooded Rice,4.7,1.175,8.225,
46926,Tropical Montane,Dry,Eastern Africa,Grassland,4.09,1.0225,7.1575,
46927,Tropical Montane,Dry,Eastern Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
46928,Tropical Montane,Dry,Eastern Africa,Settlement,0,#N/A,#N/A,
46929,Tropical Montane,Dry,Eastern Africa,Agroforestry - Default,20.8875,5.221875,36.553125,
46930,Tropical Montane,Dry,Eastern Africa,Alley Cropping,23.7,5.925,41.475,
46931,Tropical Montane,Dry,Eastern Africa,Perennial Fallow,11.1,2.775,19.425,
46932,Tropical Montane,Dry,Eastern Africa,Hedgerow,4.7,3.337,6.063,
46933,Tropical Montane,Dry,Eastern Africa,Multistrata,32.5,8.125,56.875,
46934,Tropical Montane,Dry,Eastern Africa,Parkland,5.9,1.475,10.325,
46935,Tropical Montane,Dry,Eastern Africa,Shaded Perennial,24,6,42,
46936,Tropical Montane,Dry,Eastern Africa,Silvoarable,36.1,9.025,63.175,
46937,Tropical Montane,Dry,Eastern Africa,Silvopasture,29.1,7.275,50.925,
46938,Tropical Montane,Dry,Eastern Africa,Other Land,1,#N/A,#N/A,
46939,Tropical Montane,Dry,Eastern Africa,Tea,18.3,4.575,32.025,
46940,Tropical Montane,Dry,Eastern Africa,Oil Palm,30,7.5,52.5,
46941,Tropical Montane,Dry,Eastern Africa,Rubber,40.1,10.025,70.175,
46942,Tropical Montane,Dry,Central Africa,Grains,4.7,1.175,8.225,
46943,Tropical Montane,Dry,Central Africa,Maize,4.7,1.175,8.225,
46944,Tropical Montane,Dry,Central Africa,Sugarcane,4.7,1.175,8.225,
46945,Tropical Montane,Dry,Central Africa,Wheat,4.7,1.175,8.225,
46946,Tropical Montane,Dry,Central Africa,Beans & Pulses,4.7,1.175,8.225,
46947,Tropical Montane,Dry,Central Africa,Tubers,4.7,1.175,8.225,
46948,Tropical Montane,Dry,Central Africa,Root Crops,4.7,1.175,8.225,
46949,Tropical Montane,Dry,Central Africa,Barley,4.7,1.175,8.225,
46950,Tropical Montane,Dry,Central Africa,Oats,4.7,1.175,8.225,
46951,Tropical Montane,Dry,Central Africa,Millet,4.7,1.175,8.225,
46952,Tropical Montane,Dry,Central Africa,Sorghum,4.7,1.175,8.225,
46953,Tropical Montane,Dry,Central Africa,Rye,4.7,1.175,8.225,
46954,Tropical Montane,Dry,Central Africa,Soybeans,4.7,1.175,8.225,
46955,Tropical Montane,Dry,Central Africa,Dry Bean,4.7,1.175,8.225,
46956,Tropical Montane,Dry,Central Africa,Potatoes,4.7,1.175,8.225,
46957,Tropical Montane,Dry,Central Africa,Peanuts,4.7,1.175,8.225,
46958,Tropical Montane,Dry,Central Africa,Vegetables,4.7,1.175,8.225,
46959,Tropical Montane,Dry,Central Africa,Oilseeds,4.7,1.175,8.225,
46960,Tropical Montane,Dry,Central Africa,Groundnuts,4.7,1.175,8.225,
46961,Tropical Montane,Dry,Central Africa,Annual Cropland,4.7,1.175,8.225,
46962,Tropical Montane,Dry,Central Africa,Set Aside,4.7,1.175,8.225,
46963,Tropical Montane,Dry,Central Africa,Flooded Rice,4.7,1.175,8.225,
46964,Tropical Montane,Dry,Central Africa,Grassland,4.09,1.0225,7.1575,
46965,Tropical Montane,Dry,Central Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
46966,Tropical Montane,Dry,Central Africa,Settlement,0,#N/A,#N/A,
46967,Tropical Montane,Dry,Central Africa,Agroforestry - Default,20.8875,5.221875,36.553125,
46968,Tropical Montane,Dry,Central Africa,Alley Cropping,23.7,5.925,41.475,
46969,Tropical Montane,Dry,Central Africa,Perennial Fallow,11.1,2.775,19.425,
46970,Tropical Montane,Dry,Central Africa,Hedgerow,4.7,3.337,6.063,
46971,Tropical Montane,Dry,Central Africa,Multistrata,32.5,8.125,56.875,
46972,Tropical Montane,Dry,Central Africa,Parkland,5.9,1.475,10.325,
46973,Tropical Montane,Dry,Central Africa,Shaded Perennial,24,6,42,
46974,Tropical Montane,Dry,Central Africa,Silvoarable,36.1,9.025,63.175,
46975,Tropical Montane,Dry,Central Africa,Silvopasture,29.1,7.275,50.925,
46976,Tropical Montane,Dry,Central Africa,Other Land,1,#N/A,#N/A,
46977,Tropical Montane,Dry,Central Africa,Tea,18.3,4.575,32.025,
46978,Tropical Montane,Dry,Central Africa,Oil Palm,30,7.5,52.5,
46979,Tropical Montane,Dry,Central Africa,Rubber,40.1,10.025,70.175,
46980,Tropical Montane,Dry,Northern Africa,Grains,4.7,1.175,8.225,
46981,Tropical Montane,Dry,Northern Africa,Maize,4.7,1.175,8.225,
46982,Tropical Montane,Dry,Northern Africa,Sugarcane,4.7,1.175,8.225,
46983,Tropical Montane,Dry,Northern Africa,Wheat,4.7,1.175,8.225,
46984,Tropical Montane,Dry,Northern Africa,Beans & Pulses,4.7,1.175,8.225,
46985,Tropical Montane,Dry,Northern Africa,Tubers,4.7,1.175,8.225,
46986,Tropical Montane,Dry,Northern Africa,Root Crops,4.7,1.175,8.225,
46987,Tropical Montane,Dry,Northern Africa,Barley,4.7,1.175,8.225,
46988,Tropical Montane,Dry,Northern Africa,Oats,4.7,1.175,8.225,
46989,Tropical Montane,Dry,Northern Africa,Millet,4.7,1.175,8.225,
46990,Tropical Montane,Dry,Northern Africa,Sorghum,4.7,1.175,8.225,
46991,Tropical Montane,Dry,Northern Africa,Rye,4.7,1.175,8.225,
46992,Tropical Montane,Dry,Northern Africa,Soybeans,4.7,1.175,8.225,
46993,Tropical Montane,Dry,Northern Africa,Dry Bean,4.7,1.175,8.225,
46994,Tropical Montane,Dry,Northern Africa,Potatoes,4.7,1.175,8.225,
46995,Tropical Montane,Dry,Northern Africa,Peanuts,4.7,1.175,8.225,
46996,Tropical Montane,Dry,Northern Africa,Vegetables,4.7,1.175,8.225,
46997,Tropical Montane,Dry,Northern Africa,Oilseeds,4.7,1.175,8.225,
46998,Tropical Montane,Dry,Northern Africa,Groundnuts,4.7,1.175,8.225,
46999,Tropical Montane,Dry,Northern Africa,Annual Cropland,4.7,1.175,8.225,
47000,Tropical Montane,Dry,Northern Africa,Set Aside,4.7,1.175,8.225,
47001,Tropical Montane,Dry,Northern Africa,Flooded Rice,4.7,1.175,8.225,
47002,Tropical Montane,Dry,Northern Africa,Grassland,4.09,1.0225,7.1575,
47003,Tropical Montane,Dry,Northern Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
47004,Tropical Montane,Dry,Northern Africa,Settlement,0,#N/A,#N/A,
47005,Tropical Montane,Dry,Northern Africa,Agroforestry - Default,20.8875,5.221875,36.553125,
47006,Tropical Montane,Dry,Northern Africa,Alley Cropping,23.7,5.925,41.475,
47007,Tropical Montane,Dry,Northern Africa,Perennial Fallow,11.1,2.775,19.425,
47008,Tropical Montane,Dry,Northern Africa,Hedgerow,4.7,3.337,6.063,
47009,Tropical Montane,Dry,Northern Africa,Multistrata,32.5,8.125,56.875,
47010,Tropical Montane,Dry,Northern Africa,Parkland,5.9,1.475,10.325,
47011,Tropical Montane,Dry,Northern Africa,Shaded Perennial,24,6,42,
47012,Tropical Montane,Dry,Northern Africa,Silvoarable,36.1,9.025,63.175,
47013,Tropical Montane,Dry,Northern Africa,Silvopasture,29.1,7.275,50.925,
47014,Tropical Montane,Dry,Northern Africa,Other Land,1,#N/A,#N/A,
47015,Tropical Montane,Dry,Northern Africa,Tea,18.3,4.575,32.025,
47016,Tropical Montane,Dry,Northern Africa,Oil Palm,30,7.5,52.5,
47017,Tropical Montane,Dry,Northern Africa,Rubber,40.1,10.025,70.175,
47018,Tropical Montane,Dry,Southern Africa,Grains,4.7,1.175,8.225,
47019,Tropical Montane,Dry,Southern Africa,Maize,4.7,1.175,8.225,
47020,Tropical Montane,Dry,Southern Africa,Sugarcane,4.7,1.175,8.225,
47021,Tropical Montane,Dry,Southern Africa,Wheat,4.7,1.175,8.225,
47022,Tropical Montane,Dry,Southern Africa,Beans & Pulses,4.7,1.175,8.225,
47023,Tropical Montane,Dry,Southern Africa,Tubers,4.7,1.175,8.225,
47024,Tropical Montane,Dry,Southern Africa,Root Crops,4.7,1.175,8.225,
47025,Tropical Montane,Dry,Southern Africa,Barley,4.7,1.175,8.225,
47026,Tropical Montane,Dry,Southern Africa,Oats,4.7,1.175,8.225,
47027,Tropical Montane,Dry,Southern Africa,Millet,4.7,1.175,8.225,
47028,Tropical Montane,Dry,Southern Africa,Sorghum,4.7,1.175,8.225,
47029,Tropical Montane,Dry,Southern Africa,Rye,4.7,1.175,8.225,
47030,Tropical Montane,Dry,Southern Africa,Soybeans,4.7,1.175,8.225,
47031,Tropical Montane,Dry,Southern Africa,Dry Bean,4.7,1.175,8.225,
47032,Tropical Montane,Dry,Southern Africa,Potatoes,4.7,1.175,8.225,
47033,Tropical Montane,Dry,Southern Africa,Peanuts,4.7,1.175,8.225,
47034,Tropical Montane,Dry,Southern Africa,Vegetables,4.7,1.175,8.225,
47035,Tropical Montane,Dry,Southern Africa,Oilseeds,4.7,1.175,8.225,
47036,Tropical Montane,Dry,Southern Africa,Groundnuts,4.7,1.175,8.225,
47037,Tropical Montane,Dry,Southern Africa,Annual Cropland,4.7,1.175,8.225,
47038,Tropical Montane,Dry,Southern Africa,Set Aside,4.7,1.175,8.225,
47039,Tropical Montane,Dry,Southern Africa,Flooded Rice,4.7,1.175,8.225,
47040,Tropical Montane,Dry,Southern Africa,Grassland,4.09,1.0225,7.1575,
47041,Tropical Montane,Dry,Southern Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
47042,Tropical Montane,Dry,Southern Africa,Settlement,0,#N/A,#N/A,
47043,Tropical Montane,Dry,Southern Africa,Agroforestry - Default,20.8875,5.221875,36.553125,
47044,Tropical Montane,Dry,Southern Africa,Alley Cropping,23.7,5.925,41.475,
47045,Tropical Montane,Dry,Southern Africa,Perennial Fallow,11.1,2.775,19.425,
47046,Tropical Montane,Dry,Southern Africa,Hedgerow,4.7,3.337,6.063,
47047,Tropical Montane,Dry,Southern Africa,Multistrata,32.5,8.125,56.875,
47048,Tropical Montane,Dry,Southern Africa,Parkland,5.9,1.475,10.325,
47049,Tropical Montane,Dry,Southern Africa,Shaded Perennial,24,6,42,
47050,Tropical Montane,Dry,Southern Africa,Silvoarable,36.1,9.025,63.175,
47051,Tropical Montane,Dry,Southern Africa,Silvopasture,29.1,7.275,50.925,
47052,Tropical Montane,Dry,Southern Africa,Other Land,1,#N/A,#N/A,
47053,Tropical Montane,Dry,Southern Africa,Tea,18.3,4.575,32.025,
47054,Tropical Montane,Dry,Southern Africa,Oil Palm,30,7.5,52.5,
47055,Tropical Montane,Dry,Southern Africa,Rubber,40.1,10.025,70.175,
47056,Tropical Montane,Dry,Western Africa,Grains,4.7,1.175,8.225,
47057,Tropical Montane,Dry,Western Africa,Maize,4.7,1.175,8.225,
47058,Tropical Montane,Dry,Western Africa,Sugarcane,4.7,1.175,8.225,
47059,Tropical Montane,Dry,Western Africa,Wheat,4.7,1.175,8.225,
47060,Tropical Montane,Dry,Western Africa,Beans & Pulses,4.7,1.175,8.225,
47061,Tropical Montane,Dry,Western Africa,Tubers,4.7,1.175,8.225,
47062,Tropical Montane,Dry,Western Africa,Root Crops,4.7,1.175,8.225,
47063,Tropical Montane,Dry,Western Africa,Barley,4.7,1.175,8.225,
47064,Tropical Montane,Dry,Western Africa,Oats,4.7,1.175,8.225,
47065,Tropical Montane,Dry,Western Africa,Millet,4.7,1.175,8.225,
47066,Tropical Montane,Dry,Western Africa,Sorghum,4.7,1.175,8.225,
47067,Tropical Montane,Dry,Western Africa,Rye,4.7,1.175,8.225,
47068,Tropical Montane,Dry,Western Africa,Soybeans,4.7,1.175,8.225,
47069,Tropical Montane,Dry,Western Africa,Dry Bean,4.7,1.175,8.225,
47070,Tropical Montane,Dry,Western Africa,Potatoes,4.7,1.175,8.225,
47071,Tropical Montane,Dry,Western Africa,Peanuts,4.7,1.175,8.225,
47072,Tropical Montane,Dry,Western Africa,Vegetables,4.7,1.175,8.225,
47073,Tropical Montane,Dry,Western Africa,Oilseeds,4.7,1.175,8.225,
47074,Tropical Montane,Dry,Western Africa,Groundnuts,4.7,1.175,8.225,
47075,Tropical Montane,Dry,Western Africa,Annual Cropland,4.7,1.175,8.225,
47076,Tropical Montane,Dry,Western Africa,Set Aside,4.7,1.175,8.225,
47077,Tropical Montane,Dry,Western Africa,Flooded Rice,4.7,1.175,8.225,
47078,Tropical Montane,Dry,Western Africa,Grassland,4.09,1.0225,7.1575,
47079,Tropical Montane,Dry,Western Africa,Other Land (Non-Vegetated),0,#N/A,#N/A,
47080,Tropical Montane,Dry,Western Africa,Settlement,0,#N/A,#N/A,
47081,Tropical Montane,Dry,Western Africa,Agroforestry - Default,20.8875,5.221875,36.553125,
47082,Tropical Montane,Dry,Western Africa,Alley Cropping,23.7,5.925,41.475,
47083,Tropical Montane,Dry,Western Africa,Perennial Fallow,11.1,2.775,19.425,
47084,Tropical Montane,Dry,Western Africa,Hedgerow,4.7,3.337,6.063,
47085,Tropical Montane,Dry,Western Africa,Multistrata,32.5,8.125,56.875,
47086,Tropical Montane,Dry,Western Africa,Parkland,5.9,1.475,10.325,
47087,Tropical Montane,Dry,Western Africa,Shaded Perennial,24,6,42,
47088,Tropical Montane,Dry,Western Africa,Silvoarable,36.1,9.025,63.175,
47089,Tropical Montane,Dry,Western Africa,Silvopasture,29.1,7.275,50.925,
47090,Tropical Montane,Dry,Western Africa,Other Land,1,#N/A,#N/A,
47091,Tropical Montane,Dry,Western Africa,Tea,18.3,4.575,32.025,
47092,Tropical Montane,Dry,Western Africa,Oil Palm,30,7.5,52.5,
47093,Tropical Montane,Dry,Western Africa,Rubber,40.1,10.025,70.175,
47094,Tropical Montane,Dry,Central Asia,Grains,4.7,1.175,8.225,
47095,Tropical Montane,Dry,Central Asia,Maize,4.7,1.175,8.225,
