id,livestock_production_type,manure_management_type,livestock_category_type,ipcc_region,value,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 10A.6."
18329,High-Productivity,Lagoon,Chicken Layer,Western Europe,0,N/A,N/A,
18330,High-Productivity,Liquid/Slurry,Chicken Layer,Western Europe,1,N/A,N/A,
18331,High-Productivity,Solid Storage,Chicken Layer,Western Europe,20,N/A,N/A,
18332,High-Productivity,Dry Lot,Chicken Layer,Western Europe,21,N/A,N/A,
18333,High-Productivity,Pasture/Range/Paddock,Chicken Layer,Western Europe,0,N/A,N/A,
18334,High-Productivity,Daily Spread,Chicken Layer,Western Europe,1,N/A,N/A,
18335,High-Productivity,Digester,Chicken Layer,Western Europe,0,N/A,N/A,
18336,High-Productivity,Burned For Fuel,Chicken Layer,Western Europe,0,N/A,N/A,
18337,High-Productivity,Pit<1Month,Chicken Layer,Western Europe,0,N/A,N/A,
18339,High-Productivity,Poultry Manure,Chicken Layer,Western Europe,14,N/A,N/A,
18340,High-Productivity,Deep Bedding,Chicken Layer,Western Europe,0,N/A,N/A,
18341,High-Productivity,Composting,Chicken Layer,Western Europe,0,N/A,N/A,
18342,High-Productivity,Aerobic Treatment,Chicken Layer,Western Europe,0,N/A,N/A,
18343,High-Productivity,Lagoon,Chicken Layer,Eastern Europe,0,N/A,N/A,
18344,High-Productivity,Liquid/Slurry,Chicken Layer,Eastern Europe,0,N/A,N/A,
18345,High-Productivity,Solid Storage,Chicken Layer,Eastern Europe,0,N/A,N/A,
18346,High-Productivity,Dry Lot,Chicken Layer,Eastern Europe,47,N/A,N/A,
18347,High-Productivity,Pasture/Range/Paddock,Chicken Layer,Eastern Europe,0,N/A,N/A,
18348,High-Productivity,Daily Spread,Chicken Layer,Eastern Europe,0,N/A,N/A,
18349,High-Productivity,Digester,Chicken Layer,Eastern Europe,0,N/A,N/A,
18350,High-Productivity,Burned For Fuel,Chicken Layer,Eastern Europe,0,N/A,N/A,
18351,High-Productivity,Pit<1Month,Chicken Layer,Eastern Europe,0,N/A,N/A,
18353,High-Productivity,Poultry Manure,Chicken Layer,Eastern Europe,19,N/A,N/A,
18354,High-Productivity,Deep Bedding,Chicken Layer,Eastern Europe,0,N/A,N/A,
18355,High-Productivity,Composting,Chicken Layer,Eastern Europe,0,N/A,N/A,
18356,High-Productivity,Aerobic Treatment,Chicken Layer,Eastern Europe,0,N/A,N/A,
18357,High-Productivity,Lagoon,Chicken Layer,Russian Federation,0,N/A,N/A,
18358,High-Productivity,Liquid/Slurry,Chicken Layer,Russian Federation,0,N/A,N/A,
18359,High-Productivity,Solid Storage,Chicken Layer,Russian Federation,0,N/A,N/A,
18360,High-Productivity,Dry Lot,Chicken Layer,Russian Federation,0,N/A,N/A,
18361,High-Productivity,Pasture/Range/Paddock,Chicken Layer,Russian Federation,0,N/A,N/A,
18362,High-Productivity,Daily Spread,Chicken Layer,Russian Federation,0,N/A,N/A,
18363,High-Productivity,Digester,Chicken Layer,Russian Federation,0,N/A,N/A,
18364,High-Productivity,Burned For Fuel,Chicken Layer,Russian Federation,0,N/A,N/A,
18365,High-Productivity,Pit<1Month,Chicken Layer,Russian Federation,0,N/A,N/A,
18367,High-Productivity,Poultry Manure,Chicken Layer,Russian Federation,0,N/A,N/A,
18368,High-Productivity,Deep Bedding,Chicken Layer,Russian Federation,0,N/A,N/A,
18369,High-Productivity,Composting,Chicken Layer,Russian Federation,0,N/A,N/A,
18370,High-Productivity,Aerobic Treatment,Chicken Layer,Russian Federation,0,N/A,N/A,
18371,High-Productivity,Lagoon,Chicken Layer,Oceania,0,N/A,N/A,
18372,High-Productivity,Liquid/Slurry,Chicken Layer,Oceania,0,N/A,N/A,
18373,High-Productivity,Solid Storage,Chicken Layer,Oceania,0,N/A,N/A,
18374,High-Productivity,Dry Lot,Chicken Layer,Oceania,0,N/A,N/A,
18375,High-Productivity,Pasture/Range/Paddock,Chicken Layer,Oceania,23,N/A,N/A,
18376,High-Productivity,Daily Spread,Chicken Layer,Oceania,0,N/A,N/A,
18377,High-Productivity,Digester,Chicken Layer,Oceania,0,N/A,N/A,
18378,High-Productivity,Burned For Fuel,Chicken Layer,Oceania,0,N/A,N/A,
18379,High-Productivity,Pit<1Month,Chicken Layer,Oceania,0,N/A,N/A,
18381,High-Productivity,Poultry Manure,Chicken Layer,Oceania,0,N/A,N/A,
18382,High-Productivity,Deep Bedding,Chicken Layer,Oceania,0,N/A,N/A,
18383,High-Productivity,Composting,Chicken Layer,Oceania,0,N/A,N/A,
18384,High-Productivity,Aerobic Treatment,Chicken Layer,Oceania,0,N/A,N/A,
18385,High-Productivity,Lagoon,Chicken Layer,NENA/Middle East,11,N/A,N/A,
18386,High-Productivity,Liquid/Slurry,Chicken Layer,NENA/Middle East,7,N/A,N/A,
18387,High-Productivity,Solid Storage,Chicken Layer,NENA/Middle East,11,N/A,N/A,
18388,High-Productivity,Dry Lot,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18389,High-Productivity,Pasture/Range/Paddock,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18390,High-Productivity,Daily Spread,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18391,High-Productivity,Digester,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18392,High-Productivity,Burned For Fuel,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18393,High-Productivity,Pit<1Month,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18395,High-Productivity,Poultry Manure,Chicken Layer,NENA/Middle East,4,N/A,N/A,
18396,High-Productivity,Deep Bedding,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18397,High-Productivity,Composting,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18398,High-Productivity,Aerobic Treatment,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18399,High-Productivity,Lagoon,Chicken Layer,South Asia,0,N/A,N/A,
18400,High-Productivity,Liquid/Slurry,Chicken Layer,South Asia,0,N/A,N/A,
18401,High-Productivity,Solid Storage,Chicken Layer,South Asia,100,N/A,N/A,
18402,High-Productivity,Dry Lot,Chicken Layer,South Asia,0,N/A,N/A,
18403,High-Productivity,Pasture/Range/Paddock,Chicken Layer,South Asia,0,N/A,N/A,
18404,High-Productivity,Daily Spread,Chicken Layer,South Asia,0,N/A,N/A,
18405,High-Productivity,Digester,Chicken Layer,South Asia,0,N/A,N/A,
18406,High-Productivity,Burned For Fuel,Chicken Layer,South Asia,0,N/A,N/A,
18407,High-Productivity,Pit<1Month,Chicken Layer,South Asia,0,N/A,N/A,
18409,High-Productivity,Poultry Manure,Chicken Layer,South Asia,0,N/A,N/A,
18410,High-Productivity,Deep Bedding,Chicken Layer,South Asia,0,N/A,N/A,
18411,High-Productivity,Composting,Chicken Layer,South Asia,0,N/A,N/A,
18412,High-Productivity,Aerobic Treatment,Chicken Layer,South Asia,0,N/A,N/A,
18413,Low-Productivity,Lagoon,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18414,Low-Productivity,Liquid/Slurry,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18415,Low-Productivity,Solid Storage,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18416,Low-Productivity,Dry Lot,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18417,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18418,Low-Productivity,Daily Spread,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18419,Low-Productivity,Digester,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18420,Low-Productivity,Burned For Fuel,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18421,Low-Productivity,Pit<1Month,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18423,Low-Productivity,Poultry Manure,Chicken Layer,Sub-Saharan Africa,10,N/A,N/A,
18424,Low-Productivity,Deep Bedding,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18425,Low-Productivity,Composting,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18426,Low-Productivity,Aerobic Treatment,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18427,Low-Productivity,Lagoon,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18428,Low-Productivity,Liquid/Slurry,Chicken Layer,East Asia And South-East Asia,4,N/A,N/A,
18429,Low-Productivity,Solid Storage,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18430,Low-Productivity,Dry Lot,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18431,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,East Asia And South-East Asia,1,N/A,N/A,
18432,Low-Productivity,Daily Spread,Chicken Layer,East Asia And South-East Asia,1,N/A,N/A,
18433,Low-Productivity,Digester,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18434,Low-Productivity,Burned For Fuel,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18435,Low-Productivity,Pit<1Month,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18437,Low-Productivity,Poultry Manure,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18438,Low-Productivity,Deep Bedding,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18439,Low-Productivity,Composting,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18440,Low-Productivity,Aerobic Treatment,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18441,Low-Productivity,Lagoon,Chicken Layer,North America,1,N/A,N/A,
18442,Low-Productivity,Liquid/Slurry,Chicken Layer,North America,29,N/A,N/A,
18443,Low-Productivity,Solid Storage,Chicken Layer,North America,70,N/A,N/A,
18444,Low-Productivity,Dry Lot,Chicken Layer,North America,0,N/A,N/A,
18445,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,North America,0,N/A,N/A,
18446,Low-Productivity,Daily Spread,Chicken Layer,North America,0,N/A,N/A,
18447,Low-Productivity,Digester,Chicken Layer,North America,0,N/A,N/A,
18448,Low-Productivity,Burned For Fuel,Chicken Layer,North America,0,N/A,N/A,
18449,Low-Productivity,Pit<1Month,Chicken Layer,North America,0,N/A,N/A,
18451,Low-Productivity,Poultry Manure,Chicken Layer,North America,0,N/A,N/A,
18452,Low-Productivity,Deep Bedding,Chicken Layer,North America,0,N/A,N/A,
18453,Low-Productivity,Composting,Chicken Layer,North America,0,N/A,N/A,
18454,Low-Productivity,Aerobic Treatment,Chicken Layer,North America,0,N/A,N/A,
18455,Low-Productivity,Lagoon,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18456,Low-Productivity,Liquid/Slurry,Chicken Layer,Latin America And The Caribbean,58,N/A,N/A,
18457,Low-Productivity,Solid Storage,Chicken Layer,Latin America And The Caribbean,42,N/A,N/A,
18458,Low-Productivity,Dry Lot,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18459,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18460,Low-Productivity,Daily Spread,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18461,Low-Productivity,Digester,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18462,Low-Productivity,Burned For Fuel,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18463,Low-Productivity,Pit<1Month,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18465,Low-Productivity,Poultry Manure,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18466,Low-Productivity,Deep Bedding,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18467,Low-Productivity,Composting,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18468,Low-Productivity,Aerobic Treatment,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18469,Low-Productivity,Lagoon,Chicken Layer,Western Europe,0,N/A,N/A,
18470,Low-Productivity,Liquid/Slurry,Chicken Layer,Western Europe,1,N/A,N/A,
18471,Low-Productivity,Solid Storage,Chicken Layer,Western Europe,20,N/A,N/A,
18472,Low-Productivity,Dry Lot,Chicken Layer,Western Europe,21,N/A,N/A,
18473,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,Western Europe,0,N/A,N/A,
18474,Low-Productivity,Daily Spread,Chicken Layer,Western Europe,1,N/A,N/A,
18475,Low-Productivity,Digester,Chicken Layer,Western Europe,0,N/A,N/A,
18476,Low-Productivity,Burned For Fuel,Chicken Layer,Western Europe,0,N/A,N/A,
18477,Low-Productivity,Pit<1Month,Chicken Layer,Western Europe,0,N/A,N/A,
18479,Low-Productivity,Poultry Manure,Chicken Layer,Western Europe,14,N/A,N/A,
18480,Low-Productivity,Deep Bedding,Chicken Layer,Western Europe,0,N/A,N/A,
18481,Low-Productivity,Composting,Chicken Layer,Western Europe,0,N/A,N/A,
18482,Low-Productivity,Aerobic Treatment,Chicken Layer,Western Europe,0,N/A,N/A,
18483,Low-Productivity,Lagoon,Chicken Layer,Eastern Europe,0,N/A,N/A,
18484,Low-Productivity,Liquid/Slurry,Chicken Layer,Eastern Europe,0,N/A,N/A,
18485,Low-Productivity,Solid Storage,Chicken Layer,Eastern Europe,0,N/A,N/A,
18486,Low-Productivity,Dry Lot,Chicken Layer,Eastern Europe,47,N/A,N/A,
18487,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,Eastern Europe,0,N/A,N/A,
18488,Low-Productivity,Daily Spread,Chicken Layer,Eastern Europe,0,N/A,N/A,
18489,Low-Productivity,Digester,Chicken Layer,Eastern Europe,0,N/A,N/A,
18490,Low-Productivity,Burned For Fuel,Chicken Layer,Eastern Europe,0,N/A,N/A,
18491,Low-Productivity,Pit<1Month,Chicken Layer,Eastern Europe,0,N/A,N/A,
18493,Low-Productivity,Poultry Manure,Chicken Layer,Eastern Europe,19,N/A,N/A,
18494,Low-Productivity,Deep Bedding,Chicken Layer,Eastern Europe,0,N/A,N/A,
18495,Low-Productivity,Composting,Chicken Layer,Eastern Europe,0,N/A,N/A,
18496,Low-Productivity,Aerobic Treatment,Chicken Layer,Eastern Europe,0,N/A,N/A,
18497,Low-Productivity,Lagoon,Chicken Layer,Russian Federation,0,N/A,N/A,
18498,Low-Productivity,Liquid/Slurry,Chicken Layer,Russian Federation,0,N/A,N/A,
18499,Low-Productivity,Solid Storage,Chicken Layer,Russian Federation,0,N/A,N/A,
18500,Low-Productivity,Dry Lot,Chicken Layer,Russian Federation,0,N/A,N/A,
18501,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,Russian Federation,0,N/A,N/A,
18502,Low-Productivity,Daily Spread,Chicken Layer,Russian Federation,0,N/A,N/A,
18503,Low-Productivity,Digester,Chicken Layer,Russian Federation,0,N/A,N/A,
18504,Low-Productivity,Burned For Fuel,Chicken Layer,Russian Federation,0,N/A,N/A,
18505,Low-Productivity,Pit<1Month,Chicken Layer,Russian Federation,0,N/A,N/A,
18507,Low-Productivity,Poultry Manure,Chicken Layer,Russian Federation,0,N/A,N/A,
18508,Low-Productivity,Deep Bedding,Chicken Layer,Russian Federation,0,N/A,N/A,
18509,Low-Productivity,Composting,Chicken Layer,Russian Federation,0,N/A,N/A,
18510,Low-Productivity,Aerobic Treatment,Chicken Layer,Russian Federation,0,N/A,N/A,
18511,Low-Productivity,Lagoon,Chicken Layer,Oceania,0,N/A,N/A,
18512,Low-Productivity,Liquid/Slurry,Chicken Layer,Oceania,0,N/A,N/A,
18513,Low-Productivity,Solid Storage,Chicken Layer,Oceania,0,N/A,N/A,
18514,Low-Productivity,Dry Lot,Chicken Layer,Oceania,0,N/A,N/A,
18515,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,Oceania,23,N/A,N/A,
18516,Low-Productivity,Daily Spread,Chicken Layer,Oceania,0,N/A,N/A,
18517,Low-Productivity,Digester,Chicken Layer,Oceania,0,N/A,N/A,
18518,Low-Productivity,Burned For Fuel,Chicken Layer,Oceania,0,N/A,N/A,
18519,Low-Productivity,Pit<1Month,Chicken Layer,Oceania,0,N/A,N/A,
18521,Low-Productivity,Poultry Manure,Chicken Layer,Oceania,0,N/A,N/A,
18522,Low-Productivity,Deep Bedding,Chicken Layer,Oceania,0,N/A,N/A,
18523,Low-Productivity,Composting,Chicken Layer,Oceania,0,N/A,N/A,
18524,Low-Productivity,Aerobic Treatment,Chicken Layer,Oceania,0,N/A,N/A,
18525,Low-Productivity,Lagoon,Chicken Layer,NENA/Middle East,11,N/A,N/A,
18526,Low-Productivity,Liquid/Slurry,Chicken Layer,NENA/Middle East,7,N/A,N/A,
18527,Low-Productivity,Solid Storage,Chicken Layer,NENA/Middle East,11,N/A,N/A,
18528,Low-Productivity,Dry Lot,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18529,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18530,Low-Productivity,Daily Spread,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18531,Low-Productivity,Digester,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18532,Low-Productivity,Burned For Fuel,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18533,Low-Productivity,Pit<1Month,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18535,Low-Productivity,Poultry Manure,Chicken Layer,NENA/Middle East,4,N/A,N/A,
18536,Low-Productivity,Deep Bedding,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18537,Low-Productivity,Composting,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18538,Low-Productivity,Aerobic Treatment,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18539,Low-Productivity,Lagoon,Chicken Layer,South Asia,0,N/A,N/A,
18540,Low-Productivity,Liquid/Slurry,Chicken Layer,South Asia,0,N/A,N/A,
18541,Low-Productivity,Solid Storage,Chicken Layer,South Asia,100,N/A,N/A,
18542,Low-Productivity,Dry Lot,Chicken Layer,South Asia,0,N/A,N/A,
18543,Low-Productivity,Pasture/Range/Paddock,Chicken Layer,South Asia,0,N/A,N/A,
18544,Low-Productivity,Daily Spread,Chicken Layer,South Asia,0,N/A,N/A,
18545,Low-Productivity,Digester,Chicken Layer,South Asia,0,N/A,N/A,
18546,Low-Productivity,Burned For Fuel,Chicken Layer,South Asia,0,N/A,N/A,
18547,Low-Productivity,Pit<1Month,Chicken Layer,South Asia,0,N/A,N/A,
18549,Low-Productivity,Poultry Manure,Chicken Layer,South Asia,0,N/A,N/A,
18550,Low-Productivity,Deep Bedding,Chicken Layer,South Asia,0,N/A,N/A,
18551,Low-Productivity,Composting,Chicken Layer,South Asia,0,N/A,N/A,
18552,Low-Productivity,Aerobic Treatment,Chicken Layer,South Asia,0,N/A,N/A,
18553,Default,Lagoon,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18554,Default,Liquid/Slurry,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18555,Default,Solid Storage,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18556,Default,Dry Lot,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18557,Default,Pasture/Range/Paddock,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18558,Default,Daily Spread,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18559,Default,Digester,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18560,Default,Burned For Fuel,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18561,Default,Pit<1Month,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18563,Default,Poultry Manure,Chicken Layer,Sub-Saharan Africa,10,N/A,N/A,
18564,Default,Deep Bedding,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18565,Default,Composting,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18566,Default,Aerobic Treatment,Chicken Layer,Sub-Saharan Africa,0,N/A,N/A,
18567,Default,Lagoon,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18568,Default,Liquid/Slurry,Chicken Layer,East Asia And South-East Asia,4,N/A,N/A,
18569,Default,Solid Storage,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18570,Default,Dry Lot,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18571,Default,Pasture/Range/Paddock,Chicken Layer,East Asia And South-East Asia,1,N/A,N/A,
18572,Default,Daily Spread,Chicken Layer,East Asia And South-East Asia,1,N/A,N/A,
18573,Default,Digester,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18574,Default,Burned For Fuel,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18575,Default,Pit<1Month,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18577,Default,Poultry Manure,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18578,Default,Deep Bedding,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18579,Default,Composting,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18580,Default,Aerobic Treatment,Chicken Layer,East Asia And South-East Asia,0,N/A,N/A,
18581,Default,Lagoon,Chicken Layer,North America,1,N/A,N/A,
18582,Default,Liquid/Slurry,Chicken Layer,North America,29,N/A,N/A,
18583,Default,Solid Storage,Chicken Layer,North America,70,N/A,N/A,
18584,Default,Dry Lot,Chicken Layer,North America,0,N/A,N/A,
18585,Default,Pasture/Range/Paddock,Chicken Layer,North America,0,N/A,N/A,
18586,Default,Daily Spread,Chicken Layer,North America,0,N/A,N/A,
18587,Default,Digester,Chicken Layer,North America,0,N/A,N/A,
18588,Default,Burned For Fuel,Chicken Layer,North America,0,N/A,N/A,
18589,Default,Pit<1Month,Chicken Layer,North America,0,N/A,N/A,
18591,Default,Poultry Manure,Chicken Layer,North America,0,N/A,N/A,
18592,Default,Deep Bedding,Chicken Layer,North America,0,N/A,N/A,
18593,Default,Composting,Chicken Layer,North America,0,N/A,N/A,
18594,Default,Aerobic Treatment,Chicken Layer,North America,0,N/A,N/A,
18595,Default,Lagoon,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18596,Default,Liquid/Slurry,Chicken Layer,Latin America And The Caribbean,58,N/A,N/A,
18597,Default,Solid Storage,Chicken Layer,Latin America And The Caribbean,42,N/A,N/A,
18598,Default,Dry Lot,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18599,Default,Pasture/Range/Paddock,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18600,Default,Daily Spread,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18601,Default,Digester,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18602,Default,Burned For Fuel,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18603,Default,Pit<1Month,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18605,Default,Poultry Manure,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18606,Default,Deep Bedding,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18607,Default,Composting,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18608,Default,Aerobic Treatment,Chicken Layer,Latin America And The Caribbean,0,N/A,N/A,
18609,Default,Lagoon,Chicken Layer,Western Europe,0,N/A,N/A,
18610,Default,Liquid/Slurry,Chicken Layer,Western Europe,1,N/A,N/A,
18611,Default,Solid Storage,Chicken Layer,Western Europe,20,N/A,N/A,
18612,Default,Dry Lot,Chicken Layer,Western Europe,21,N/A,N/A,
18613,Default,Pasture/Range/Paddock,Chicken Layer,Western Europe,0,N/A,N/A,
18614,Default,Daily Spread,Chicken Layer,Western Europe,1,N/A,N/A,
18615,Default,Digester,Chicken Layer,Western Europe,0,N/A,N/A,
18616,Default,Burned For Fuel,Chicken Layer,Western Europe,0,N/A,N/A,
18617,Default,Pit<1Month,Chicken Layer,Western Europe,0,N/A,N/A,
18619,Default,Poultry Manure,Chicken Layer,Western Europe,14,N/A,N/A,
18620,Default,Deep Bedding,Chicken Layer,Western Europe,0,N/A,N/A,
18621,Default,Composting,Chicken Layer,Western Europe,0,N/A,N/A,
18622,Default,Aerobic Treatment,Chicken Layer,Western Europe,0,N/A,N/A,
18623,Default,Lagoon,Chicken Layer,Eastern Europe,0,N/A,N/A,
18624,Default,Liquid/Slurry,Chicken Layer,Eastern Europe,0,N/A,N/A,
18625,Default,Solid Storage,Chicken Layer,Eastern Europe,0,N/A,N/A,
18626,Default,Dry Lot,Chicken Layer,Eastern Europe,47,N/A,N/A,
18627,Default,Pasture/Range/Paddock,Chicken Layer,Eastern Europe,0,N/A,N/A,
18628,Default,Daily Spread,Chicken Layer,Eastern Europe,0,N/A,N/A,
18629,Default,Digester,Chicken Layer,Eastern Europe,0,N/A,N/A,
18630,Default,Burned For Fuel,Chicken Layer,Eastern Europe,0,N/A,N/A,
18631,Default,Pit<1Month,Chicken Layer,Eastern Europe,0,N/A,N/A,
18633,Default,Poultry Manure,Chicken Layer,Eastern Europe,19,N/A,N/A,
18634,Default,Deep Bedding,Chicken Layer,Eastern Europe,0,N/A,N/A,
18635,Default,Composting,Chicken Layer,Eastern Europe,0,N/A,N/A,
18636,Default,Aerobic Treatment,Chicken Layer,Eastern Europe,0,N/A,N/A,
18637,Default,Lagoon,Chicken Layer,Russian Federation,0,N/A,N/A,
18638,Default,Liquid/Slurry,Chicken Layer,Russian Federation,0,N/A,N/A,
18639,Default,Solid Storage,Chicken Layer,Russian Federation,0,N/A,N/A,
18640,Default,Dry Lot,Chicken Layer,Russian Federation,0,N/A,N/A,
18641,Default,Pasture/Range/Paddock,Chicken Layer,Russian Federation,0,N/A,N/A,
18642,Default,Daily Spread,Chicken Layer,Russian Federation,0,N/A,N/A,
18643,Default,Digester,Chicken Layer,Russian Federation,0,N/A,N/A,
18644,Default,Burned For Fuel,Chicken Layer,Russian Federation,0,N/A,N/A,
18645,Default,Pit<1Month,Chicken Layer,Russian Federation,0,N/A,N/A,
18647,Default,Poultry Manure,Chicken Layer,Russian Federation,0,N/A,N/A,
18648,Default,Deep Bedding,Chicken Layer,Russian Federation,0,N/A,N/A,
18649,Default,Composting,Chicken Layer,Russian Federation,0,N/A,N/A,
18650,Default,Aerobic Treatment,Chicken Layer,Russian Federation,0,N/A,N/A,
18651,Default,Lagoon,Chicken Layer,Oceania,0,N/A,N/A,
18652,Default,Liquid/Slurry,Chicken Layer,Oceania,0,N/A,N/A,
18653,Default,Solid Storage,Chicken Layer,Oceania,0,N/A,N/A,
18654,Default,Dry Lot,Chicken Layer,Oceania,0,N/A,N/A,
18655,Default,Pasture/Range/Paddock,Chicken Layer,Oceania,23,N/A,N/A,
18656,Default,Daily Spread,Chicken Layer,Oceania,0,N/A,N/A,
18657,Default,Digester,Chicken Layer,Oceania,0,N/A,N/A,
18658,Default,Burned For Fuel,Chicken Layer,Oceania,0,N/A,N/A,
18659,Default,Pit<1Month,Chicken Layer,Oceania,0,N/A,N/A,
18661,Default,Poultry Manure,Chicken Layer,Oceania,0,N/A,N/A,
18662,Default,Deep Bedding,Chicken Layer,Oceania,0,N/A,N/A,
18663,Default,Composting,Chicken Layer,Oceania,0,N/A,N/A,
18664,Default,Aerobic Treatment,Chicken Layer,Oceania,0,N/A,N/A,
18665,Default,Lagoon,Chicken Layer,NENA/Middle East,11,N/A,N/A,
18666,Default,Liquid/Slurry,Chicken Layer,NENA/Middle East,7,N/A,N/A,
18667,Default,Solid Storage,Chicken Layer,NENA/Middle East,11,N/A,N/A,
18668,Default,Dry Lot,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18669,Default,Pasture/Range/Paddock,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18670,Default,Daily Spread,Chicken Layer,NENA/Middle East,0,N/A,N/A,
18671,Default,Digester,Chicken Layer,NENA/Middle East,0,N/A,N/A,
